IP Destinations Targeted,Distinct IP Sources
1,3337
2,2220
3,1914
4,2127
5,2040
6,1645
7,3692
8,42682
9,3203
10,3121
11,457563
12,4198
13,2088
14,2153
15,9114
16,22168
17,2327
18,1226
19,435
20,1407
21,1422512
22,894
23,990
24,95
25,1295
26,26
28,485
29,186
30,3878
31,1277
32,901
33,1120
34,1146
35,359
36,36
37,142
38,193
40,461
41,209
44,1672
45,118
46,929
48,123
49,52
50,680
51,12656
57,57
58,611
71,388
73,225
74,148
78,145
80,83
81,565
86,86
90,90
99,99
100,477
102,355
105,231
114,114
118,118
136,136
148,251
151,436
164,439
170,294
177,177
209,209
217,217
238,258
320,801
328,580
473,475
501,502
526,3514
536,2590
728,730
772,774
1006,90342
1076,1078
1292,1294
1346,1346
1419,1422
2064,2070
2129,2132
2350,2363
2560,2772
2684,2696
2833,2847
2876,8929
2982,2989
2997,3008
3042,3063
3558,3657
3675,25140
4468,4506
5005,5037
5024,5129
7331,7393
7401,7485
7454,7519
7503,7604
8246,8316
9906,10030
10010,10112
11068,11211
11422,11559
13792,14020
16303,16639
18665,19029
19302,19683
22379,67736
25190,26159
28518,30140
28924,29822
29156,30064
36741,38343
39026,40712
42696,46750
47436,49883
57545,61262
67230,89371
88617,133776
139860,383024
140384,165090